OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-HUN,AL-ANN,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,RAINBOW CI,   3, 4.68, .00, 100, .29,  57, .30, -64,  -25,  -68,  -30, -123,37401 ,35756 ,35906 ,4.44,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,b: A COOPER LOGISTICS|   ,1112205_,V.,AL,DECATUR   ,AL,HOOVER    ,   3, 3.70, .26,  88, .16,  14, .25,  -6,    9,  -12, -172, -175,35649 ,35601 ,35216 ,3.72,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-HUN,AL-BIR,HOME DEPOT           |   ,263301__,V.,AL,HUNTSVILLE,AL,MC CALLA  ,   2, 4.30, .21, 115, .48,  66, .30,   0,   24, -107,  -48, -131,35649 ,35801 ,35111 ,4.27,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,ARAB      ,   3, 5.31, .00,  45, .17,  76, .32, -15,  -25,  -39, -207, -271,35649 ,35756 ,35016 ,5.07,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,BIRMINGHAM,  10, 4.69, .00,  96, .19,  58, .30, -17,  -25,  -25,  -44,  -94,35601 ,35756 ,35203 ,4.45,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,LEEDS     ,   6, 4.15, .00, 109, .20,  81, .31, -14,  -25,   14,  -59,  -70,35649 ,35756 ,35094 ,3.91,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,SYLACAUGA ,   1, 4.17, .00, 141, .18,   0, .25,  29,  -25,   22,    0,   -3,35756 ,35756 ,35150 ,3.93,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,WESTROCK             |   ,209226__,V.,AL,ATHENS    ,AL,BIRMINGHAM,   1, 5.26, .15,  95, .21,  18, .25, -50, -133,  -34,   40, -127,35756 ,35611 ,35203 ,5.17,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-BIR,WESTROCK             |   ,209226__,V.,AL,ATHENS    ,AL,CULLMAN   ,   1, 6.48, .15,  46, .13, 109, .35,   0, -133,  -22, -161, -316,38326 ,35611 ,35055 ,6.39,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-OPE,BRIGGS AND STRATTON  |   ,253950__,V.,AL,ATHENS    ,AL,AUBURN    ,  12, 1.90, .20, 202, .37,  23, .26,   1,   24,   75, -191,  -92,35649 ,35611 ,36830 ,1.86,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-HUN,AL-OPE,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,AL,AUBURN    ,   1, 2.46, .00, 290, .70,  11, .25,  30,   -3,   -1,   19,   15,35649 ,35756 ,36830 ,2.22,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-OPE,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,AL,OPELIKA   ,  18, 3.54, .00, 201, .40,  92, .32,  15,   -3,   62,  121,  180,35756 ,35756 ,36801 ,3.30,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-OPE,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,AL,PHENIX CIT,   2, 3.08, .00, 231, .54,  85, .33, -27,   -3,    2,  138,  137,35649 ,35756 ,36867 ,2.84,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-OPE,WESTROCK             |   ,209226__,V.,AL,ATHENS    ,AL,OPELIKA   ,  46, 2.88, .15, 206, .33, 135, .37, -13, -133,   92,   31,  -10,36801 ,35611 ,36801 ,2.79,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AL-TUS,PCA MADISON UNDER 150|   ,1111240_,V.,AL,MADISON   ,AL,TUSCALOOSA,   4, 4.00, .00, 147, .28,  15, .25, -15,  -25,  -21,  -10,  -56,35756 ,35756 ,35401 ,3.76,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AR-LR.,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,AR,SEARCY    ,   3, 3.02, .00, 310, .88,  22, .25,  45,   -3,  -17, -349, -369,35801 ,35756 ,72143 ,2.78,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,AR-WM.,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,AR,WEST MEMPH,   5, 3.19, .00, 212, .51,  82, .32, -16,   -3,   15, -141, -129,35772 ,35756 ,72301 ,2.95,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,GA-ATL,b: COYOTE LOGISTICS  |   ,203482__,V.,AL,DECATUR   ,GA,COLLEGE PA,   1, 1.70, .19, 235, .54, 107, .35,   5,   99,    2, -341, -240,35111 ,35601 ,30272 ,1.65,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,GA-ATL,b: COYOTE LOGISTICS  |   ,203482__,V.,AL,MUSCLE SHO,GA,COLLEGE PA,   1, 1.69, .19, 265, .79,  59, .30,   5,  -47,  -40, -324, -411,35756 ,35661 ,30272 ,1.64,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,GA-ATL,b: M2 LOGISTICS      |   ,240616__,V.,TN,MANCHESTER,GA,MADISON   ,   2, 2.02, .27, 247, .54,  96, .33, -15,  -94,    2, -235, -327,37127 ,37349 ,30650 ,2.05,C: UNASSIGNED        ;P: TOMMY..........   ;S: UNASSIGNED        ,UNKTOMU
AL-HUN,GA-ATL,b: TLD LOGISTICS SERV|   ,1112178_,V.,AL,DECATUR   ,GA,NORCROSS  ,   1, 1.47, .27, 249, .92,  79, .30, -15,   89, -162, -369, -442,35203 ,35601 ,30003 ,1.50,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-HUN,GA-ATL,b: US XPRESS         |   ,256052__,V.,AL,DECATUR   ,GA,ATLANTA   ,   1, 1.86, .28, 233, .83,  91, .30, -17,   74, -123, -283, -332,35020 ,35601 ,30301 ,1.90,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-HUN,GA-ATL,HILL BRO LOGISTICS   |   ,1111836_,V.,AL,ALBERTVILL,GA,MCDONOUGH ,   1, 2.58, .27, 175, .92,   0, .25, -11,   27, -252, -232, -457,35950 ,35950 ,30253 ,2.61,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-HUN,GA-ATL,LOWES MLXP VAN ONE WA|   ,29711___,V.,AL,HUNTSVILLE,GA,NEWNAN    ,  13, 3.08, .21, 190, .61,  51, .28,   0,   27, -119, -110, -202,37121 ,35801 ,30263 ,3.05,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,GA-ATL,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,GA,ATLANTA   ,  28, 4.18, .00, 195, .40,  95, .33,  30,   -3,  -28,   90,   59,35756 ,35756 ,30301 ,3.94,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-HUN,GA-ATL,PCA MADISON OVER 150 |   ,1111239_,V.,AL,MADISON   ,GA,DECATUR   ,   1, 3.90, .00, 209, .54, 124, .35, -17,   -3,    2,  124,  123,37115 ,35756 ,30030 ,3.66,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
